Job Title,Company,Location,Posting Date,Extract Date,Salary,Summary,JobUrl
Data Analyst (SG-based / Remote),Nugit,Remote in Singapore,Posted30+ days ago,2022-05-18,,"Minimum 3 years experience in a technology/data company or in a data analyst role.
Experience working with media data using AWS Redshift/Sisense/Tableau or…",https://sg.indeed.com/rc/clk?jk=855b41aa6b629c99&fccid=f5c993fc6f12f9cc&vjs=3
Data Analyst (Crypto/ Blockchain),ALIGN RECRUITMENT PTE. LTD.,Singapore+1 location,Posted2 days ago,2022-05-18,"$5,000 - $10,000 a month","With 2 years or more of data analysis or data operation related work experience, statistics, mathematics, computer-related majors are preferred, and those who…",https://sg.indeed.com/rc/clk?jk=3138fb076b3e820f&fccid=5c7a9829f8aca31e&vjs=3
Risk Management Analyst,Orient Futures International,Singapore,Posted12 days ago,2022-05-18,"$4,500 a month","Create on dashboard and data visualization.
Manage and ensure effective implementation of risk policies.
Conduct in system testing and UAT development.",https://sg.indeed.com/rc/clk?jk=b52b989df3ec06fb&fccid=90ee862e4e7d7219&vjs=3
Wine Market Analyst,FICOFI PARTNERS HOLDING PTE. LTD.,Singapore,Posted4 days ago,2022-05-18,"$7,000 - $8,000 a month","Analytical mindset and strong data background, comfortable interpreting and using data.
Fact-check the accuracy of data in all content.",https://sg.indeed.com/rc/clk?jk=9c13765fb9b56b3a&fccid=df6f87ab432c06e9&vjs=3
Data Analyst Intern,Mammoet,Singapore,Posted30+ days ago,2022-05-18,,"Develop market entry/ industry analysis road-map with actions and create insightful reports.
People interacting and not just information overloading.",https://sg.indeed.com/rc/clk?jk=7dfe92c3d4acaa94&fccid=55d1e9297d47465c&vjs=3
DATA ANALYST,Believe,Singapore,Posted21 days ago,2022-05-18,,"Familiarity with data models and database design principles.
Good knowledge of Excel to present the data in readable format.",https://sg.indeed.com/rc/clk?jk=86fb52c10d96a33a&fccid=bc6d90e6ec2f90d2&vjs=3
AI & Compliance Model Validation Quantitative Analyst,UBS,Singapore,Posted12 days ago,2022-05-18,,"Expertise in data assembling and analysis, computational statistics, anomaly detection or machine learning including relevant programming skills, for example in…",https://sg.indeed.com/rc/clk?jk=1585a8827e36ac70&fccid=1c76c3a36f6c7557&vjs=3
Master Data Analyst II (COE) - 12 months contract,Bio-Rad Laboratories,Singapore,Posted8 days ago,2022-05-18,,"Strong understanding of how data is used for reporting and transactional activities.
Strong knowledge of master data management, standards, and organizations.",https://sg.indeed.com/rc/clk?jk=25db5dce23e890d6&fccid=f5d3dc952a96809f&vjs=3
Business Intelligence Analyst,NTT Ltd,Remote in Central Singapore,Posted30+ days ago,2022-05-18,,"The Business Intelligence Analyst transforms data into insights that drive business value using data analytics, data visualization and data modeling techniques…",https://sg.indeed.com/rc/clk?jk=9e56455b56e3b54a&fccid=906e0ed766138448&vjs=3
"Singapore Marketing (Community, Social Media) Analyst",Shopee,Singapore,Posted30+ days ago,2022-05-18,,The Marketing team at Shopee is responsible for conceptualising and implementing go-to-market activities to achieve increased usage and visibility.,https://sg.indeed.com/rc/clk?jk=5978b4fce2f87263&fccid=0b476c4a7add47fe&vjs=3
"Associate Data Engineer, Data & Analytics - Technology Consulting",EY,Singapore,PostedToday,2022-05-18,,"Experience in business intelligence, data warehousing/platform, and data strategy projects.
We implement information-driven strategies, data platforms and…",https://sg.indeed.com/rc/clk?jk=b1ea5f87443e110d&fccid=1544766d4c2915b0&vjs=3
Regional Data Analytics Intern,Schneider Electric,Singapore,Posted30+ days ago,2022-05-18,,Makes recommendations about the methods and ways in which a company obtains and analyzes data to improve quality and efficiency of data systems.,https://sg.indeed.com/rc/clk?jk=3c7ea51a380b2497&fccid=8dc4399ddb463d4a&vjs=3
Data Analyst Singapore,Pan-United Corporation Ltd,Singapore,Posted30+ days ago,2022-05-18,,"Analyze raw data: assessing quality, cleansing, structuring for downstream processing.
Additional experience in data visualization and/or knowledge of…",https://sg.indeed.com/rc/clk?jk=800a0452d0c3af86&fccid=899abde74546a003&vjs=3
Game Operations and Data Analysis Intern,Garena,Singapore,Posted26 days ago,2022-05-18,,"Understanding and executing the setup and launch of revenue events from start to finish.
Curating and ideating in-game player interfaces (e.g. event buttons,…",https://sg.indeed.com/rc/clk?jk=37fa74a93da0bed1&fccid=2aa3fa695ba957e4&vjs=3
Business Analyst,ALLIANZ INSURANCE SINGAPORE PTE. LTD.,Singapore,PostedToday,2022-05-18,"$5,500 - $7,000 a month","Understand and analyze the requirements along with the functional data flow.
At least 5 years’ experience in insurance industry as a business analyst in P&C.",https://sg.indeed.com/rc/clk?jk=986ae60f2d7e98a9&fccid=38e2d95f291d9dea&vjs=3
Data Analyst,Snaphunt Pte. Ltd.,Singapore,Posted30+ days ago,2022-05-18,"$3,000 - $3,500 a month","Proven working experience (1-2 years) as data analyst.
Analyse data of company's portfolio and performance statistics.
Knowledge in Python and SQL.",https://sg.indeed.com/rc/clk?jk=53d9a6b9e6b965c9&fccid=dd616958bd9ddc12&vjs=3
Business Analyst Trainee #SGUnitedTraineeship,BlackStorm Consulting Pte. Ltd.,Singapore,Posted30+ days ago,2022-05-18,"$2,500 a month","Interpret and evaluate research data from various sources and develop integrated business analyses.
Immediate Start, For At Least 6 Months.",https://sg.indeed.com/rc/clk?jk=9b0ca9f7c8fbece1&fccid=c4d6af4873c66e92&vjs=3
Social Media Data Analyst,Pundi X Labs,Singapore,Posted30+ days ago,2022-05-18,,"Strong analytical skills preferably a background in data analysis.
You will work closely with the PR team to analyze and optimize data and trends on social…",https://sg.indeed.com/rc/clk?jk=dcf01204af56c12e&fccid=0991ed358684650a&vjs=3
Online Business Commercial Analyst,Apple,Singapore,PostedJust posted,2022-05-18,,"Demonstrated abilities to work infast-paced, high stressed environment; proven analytical skills toanalyse data for commercial and strategydecision-making.",https://sg.indeed.com/rc/clk?jk=f9fc77f414c35680&fccid=c1099851e9794854&vjs=3
Data Analyst - Recommendation,Shopee,Singapore,Posted30+ days ago,2022-05-18,,"Demonstrate good data visualisation and experience using its tools (e.g. Tableau, Data Studio).
Design, build and maintain useful dashboards and reports to…",https://sg.indeed.com/rc/clk?jk=3b50ebdfff0f6baa&fccid=0b476c4a7add47fe&vjs=3
Operations Analyst - Banking,TANGSPAC CONSULTING PTE LTD,Singapore,Posted1 day ago,2022-05-18,"$2,000 - $3,000 a month","Work with internal partners for data and analysis requirement.
Work closely with various stakeholders to understand the Business/Operations problem statement,…",https://sg.indeed.com/rc/clk?jk=4237869b0d90e930&fccid=4e64238c89e14944&vjs=3
"Finance System, Analyst",AIA,Singapore,Posted9 days ago,2022-05-18,,"Possessing up-to-date knowledge on AIA finance and accounting processes, terminology, workflows, system functionalities, parameters and interfaces, finance…",https://sg.indeed.com/rc/clk?jk=74bf9506bfe713c7&fccid=004041685e219574&vjs=3
Customers Operations Business Analyst,"Advanced Micro Devices, Inc.",Singapore,Posted30 days ago,2022-05-18,,"Strong business acumen, ability and willingness to derive business intelligence from data.
Perform data extraction (using SQL), reports generation for business…",https://sg.indeed.com/rc/clk?jk=c64290d17f2cefdf&fccid=b45c4b5a9c9a7448&vjs=3
Commodities Risk Analyst,Standard Chartered,Singapore,Posted30+ days ago,2022-05-18,,"Review of data quality of risk factors used for VaR computation.
Daily monitoring of risk exposures.
Contribution to regular (daily and monthly) risk summaries…",https://sg.indeed.com/rc/clk?jk=8e749c821b8dad8f&fccid=5249cd8e17163cb5&vjs=3
Risk Operation Analyst,Accenture,Singapore,Posted30+ days ago,2022-05-18,,"As a Risk Agent, you will assist achieving team goals by ensuring security of our clients’ platform (in Thailand and Indonesia) and identifying and eliminating…",https://sg.indeed.com/rc/clk?jk=dde26c00f37f1294&fccid=a4e4e2eaf26690c9&vjs=3
E-commerce Data Analyst,TikTok,Singapore,Posted30+ days ago,2022-05-18,,"Operation core index design, data dashboard design landing, core index data abnormal monitoring;
Overall responsible for data support of e-commerce overseas…",https://sg.indeed.com/rc/clk?jk=37746e885b2fdee8&fccid=caed318a9335aac0&vjs=3
Risk Operation Analyst,Accenture,Singapore,Posted30+ days ago,2022-05-18,,"As a Risk Agent, you will assist achieving team goals by ensuring security of our clients’ platform (in Thailand and Indonesia) and identifying and eliminating…",https://sg.indeed.com/rc/clk?jk=dde26c00f37f1294&fccid=a4e4e2eaf26690c9&vjs=3
E-commerce Data Analyst,TikTok,Singapore,Posted30+ days ago,2022-05-18,,"Operation core index design, data dashboard design landing, core index data abnormal monitoring;
Overall responsible for data support of e-commerce overseas…",https://sg.indeed.com/rc/clk?jk=37746e885b2fdee8&fccid=caed318a9335aac0&vjs=3
Business Analyst (Customer Data Management),Pratt & Whitney,Singapore,Posted30+ days ago,2022-05-18,,"Perform regular variance analysis to identify gaps and the impact from data change.
Min 5 years of experience in business analytics or data analytics.",https://sg.indeed.com/rc/clk?jk=98899045e506ca59&fccid=54fab6b8f8edafb5&vjs=3
Senior Data Analyst,Manpower Singapore,Singapore,Posted4 days ago,2022-05-18,"$5,000 - $8,000 a month","Providing technical expertise on data storage structures, data mining, and data cleansing.
Supporting initiatives for data integrity and normalization.",https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbLEAfUJ_8-EnULjJ15l1k6LfB5RD9Ew3x4SlXgqMriw8oywaHohqK_bfr-pESj-h13aobIcLM_GnI5tIQnEX3a-Le5kv-kOwUk0gJYX6uCrqLQjrTfl-d8fa5VzyzFF8Os13_xjn_LoyDtL6zCccWgJd1c56bCOHnJUbBi9Wv7vjahZraJIxNG6xhB2vrkUREb6o8Z1IaK4GixLSOF12tJUGDdiR9Ktek-w9hxm94SWuDX4EkHDWHxWUQ0OuUTl1CHwtbBQSkphDdOHNyMp2JsPzdB0mVb_SrVPTNWjGkwjxk1IW_rEeZedFrW5LwmGn3z1XDnAH5bjJGT92aYw0x2KJF2nhLFI_4IpkXftb7P5YNkAW5jGcPZcZCYA7ej8nI6i5x7efzwehNTmHAGMYFUB5gPXUV1RfGBHXqx5JC6upNy_t64KXKIoYlSracdj0AgcJAGN-fi7fSwRnPUU_x2_qacj7Ndqfyo7HKVv3pnbY3iXVqsfWewc1sTzp4sRNnKCm6liFyxX-FyrdapwcKGvicQaDh2oQNVYO20qJqyv2xAASHDqd6M_GIOitsVXPZmQVPEKdxX4mE9on-nXjGepvvkU5NLdKGCtCBEuY8WRdUG7P1c43FvEkM104GBP9-v9BTq0H0wSG0pDC-0y3IrHk04AbRmKiWxITl8zGVJoDlj1WDEmV7&p=3&fvj=0&vjs=3
Bioinformatics Analyst,Danone,Singapore+1 location,Posted30+ days ago,2022-05-18,,"Able to interpret microbiome data to provide biological outcomes with knowledge of the microbiome projects worldwide.
Strong knowledge on microbiome/metagenome.",https://sg.indeed.com/rc/clk?jk=8de01d2b31df49d0&fccid=1d449a8e14af7cf3&vjs=3
"Intern, Business Analyst (3-6 months)",Keppel Corporation,Singapore,Posted30+ days ago,2022-05-18,,"As a Business analyst trainee, you are responsible for bridging the gap between IT and the business using data analytics to assess processes, determine…",https://sg.indeed.com/rc/clk?jk=3c7fab0e0ba6feaf&fccid=5a2be630799e9295&vjs=3
"Operations Analyst, Data Services",THE TORONTO-DOMINION BANK,Singapore,Posted13 days ago,2022-05-18,"$4,000 - $5,800 a month","The Data Services team supports all business lines located in Singapore (Foreign Exchange, International Fixed Income, Funding, Global Precious Metals, Trade…",https://sg.indeed.com/rc/clk?jk=75b64134421c8a89&fccid=d7114f1cac8d0711&vjs=3
"Category Finance Analyst, Floorcare",Dyson,Singapore,Posted30+ days ago,2022-05-18,,"Ability to analyse data and trends: Highly competent IT and data manipulation skills with strong excel skills.
Tableau, SAP & BW experience preferred.",https://sg.indeed.com/rc/clk?jk=1e250873d76a6e88&fccid=366382f52796fce2&vjs=3
Temp Staff (Data Analytics),BUSINESS EDGE PERSONNEL SERVICES PTE LTD,Temporarily Remote in Singapore+1 location,Posted5 days ago,2022-05-18,"$2,366 a month","Data analysis, and development of visualisation models; and.
Applicants are required to be proficient in Microsoft Excel and have experiences (e.g. Tableau) in…",https://sg.indeed.com/rc/clk?jk=2d2c13e1a2899e9d&fccid=21857383b7a8309e&vjs=3
"Liquidity Analyst, APAC",360T ASIA PACIFIC PTE. LTD.,Singapore,Posted4 days ago,2022-05-18,"$7,000 - $10,000 a month","Analysing data to look for opportunities and trends.
Strong analytical mindset, well versed with advanced excel skills and able to manipulate large amounts of…",https://sg.indeed.com/rc/clk?jk=462d94ba8c033b10&fccid=802fdc93b64f6b4b&vjs=3
Business Analyst,Singapore Life Ltd.,Singapore,Posted30+ days ago,2022-05-18,,"Provide business insight and trends using data visualization software/tools.
Creating data models and requirement gathering to develop clear and measurable key…",https://sg.indeed.com/rc/clk?jk=58ab952c634c6838&fccid=5d438e6f0060509b&vjs=3
Business Analyst,ABEAM ANALYTICS PTE. LTD.,Singapore,Posted4 days ago,2022-05-18,"$6,000 - $9,000 a month","Understand the relevant “as-is” user/system processes, source to target data models / flow and participate in gap analysis between the new and the “as-is”…",https://sg.indeed.com/rc/clk?jk=b9cf634fbfb5f462&fccid=2e32a095df7746a4&vjs=3
External Connectivity Security Analyst,ITCS Group,Singapore,PostedToday,2022-05-18,,"Review/proofing data for completeness and accuracy.
Strong organization, problem-solving and data analysis skills.
Ability to work with Big Data.",https://sg.indeed.com/rc/clk?jk=869c0a03a0a131e3&fccid=b63e6d54592eca9a&vjs=3
Operations Analyst / Business Analyst,CAPITAL C PEOPLE XPERIENCE PTE. LTD.,Singapore,Posted5 days ago,2022-05-18,"$4,000 - $6,500 a month","Determining appropriate methods to analyze operations, relevant information, and data.
Be the point of contact between operations and analytics department to…",https://sg.indeed.com/rc/clk?jk=81b4dfdd8598ece5&fccid=7e10aa76f380f7b2&vjs=3
Financial Data Analyst Intern,ClearSK Healthcare Pte Ltd,Singapore,Posted30+ days ago,2022-05-18,"$1,000 - $1,800 a month","Immediate Start, For At Least 6 Months.
Financial Data Analyst Intern (Pay Up $1800 Pm).
Report to Financial Controller who is a qualified CPA / Chartered…",https://sg.indeed.com/rc/clk?jk=60c325381ce32cfb&fccid=ed460cf42f8578d0&vjs=3
Business Data Analyst Intern,Snaphunt Pte. Ltd.,Singapore,Posted30+ days ago,2022-05-18,,"Collecting data from various sources and channels (data mining) for data analysis.
Defining new data collection and analysis processes.",https://sg.indeed.com/rc/clk?jk=6e7dc11d79fc8f70&fccid=dd616958bd9ddc12&vjs=3
Data Analyst Intern,Tivlon Technologies Private Limited,Singapore,Posted30+ days ago,2022-05-18,,"Manage databases and input information, data, and records.
Assist in preparing information and research materials.
Take notes and memos during meetings.",https://sg.indeed.com/rc/clk?jk=01fa46079f238506&fccid=779925ea75e2bb67&vjs=3
Real Estate Data Analyst,REAL ESTATE ANALYTICS PTE. LTD.,Singapore,Posted12 days ago,2022-05-18,"$4,000 - $5,500 a month",The data analyst will have opportunities to work on various cutting edge data science projects that provide data-driven insights to business in the areas of…,https://sg.indeed.com/rc/clk?jk=1b2676b40d6a1d35&fccid=800d7c7e7078eb1d&vjs=3
Data Analyst,Singapore National Eye Centre,Singapore,Posted30+ days ago,2022-05-18,,"Design, implement and maintain data flow channels and data processing systems that support the analysis of information.",https://sg.indeed.com/rc/clk?jk=24f4991adf6f35ed&fccid=bbf62695d36a19cf&vjs=3
Financial Planning Analysis - Analyst,Helix Leisure,Toa Payoh,Posted12 days ago,2022-05-18,,"Competent in data visualization tools like Power BI/Tableau.
Able to work with big data and create financial models- SQL or other similar programming skills…",https://sg.indeed.com/rc/clk?jk=50fdcabf9f8d5fb6&fccid=778fa220f9b5c1b7&vjs=3
Manager / Assistant Manager - Transport Operations (Data Analyst),LF Logistics Services Pte Ltd,Singapore,EmployerActive 8 days ago,2022-05-18,"$5,000 - $6,500 a month","Analyze complex data to understand customer and order profiles.
Manage end-to-end data projects; identify issues, gather information from various sources,…",https://sg.indeed.com/company/LF-Logistics-Services-Pte-Ltd/jobs/Manager-9127ca9b3fa76ce9?fccid=8124aa97c03fe847&vjs=3
Data Profiling & Analytics Lead,Standard Chartered,Singapore,PostedToday,2022-05-18,,"Develop an understanding of the current state data architecture landscape for the CCIB CC data and CCIB CC processes.
Expertise in Data Design and Architecture.",https://sg.indeed.com/rc/clk?jk=d50253d7b8993807&fccid=5249cd8e17163cb5&vjs=3
"Engineer, Data Analyst",Sea Limited,Singapore,Posted30+ days ago,2022-05-18,,"Understand data source; design data warehouse and ETL pipelines.
Understand user requirements; design data deliverables.",https://sg.indeed.com/rc/clk?jk=76b40abaf33cfdb2&fccid=74701e2a60c2ea8b&vjs=3
Senior Data Analyst (Marketing Analytics),Shopee,Singapore 118265+1 location,Posted30+ days ago,2022-05-18,,"With support from data engineers, work with big data at Shopee using Hadoop ecosystem.
Passionate about data and solving challenging problems.",https://sg.indeed.com/rc/clk?jk=fe0697c9f2061330&fccid=0b476c4a7add47fe&vjs=3
"Senior / Analyst, Data Analytics",ASM,Singapore,Posted30+ days ago,2022-05-18,,Strong analytical mindset with basic understanding of data analytics and statistical measures/techniques to derive insights from the data.,https://sg.indeed.com/rc/clk?jk=55408ef80026abd7&fccid=2f78c666a1ead0f5&vjs=3
Data Analyst / Data Scientist (Office of Data and Intelligence),National University of Singapore,Temporarily Remote in Singapore 119077,Posted15 days ago,2022-05-18,,The successful candidate will join a team of other data analysts and data scientists to engage in the following activities:,https://sg.indeed.com/rc/clk?jk=03458af51f7f6731&fccid=b4c06e8a712feddf&vjs=3
Business Data Analyst,BigTapp,Singapore,Posted30+ days ago,2022-05-18,,"Working knowledge about querying data, data visualization and data analysis.
Work with business stakeholders to establish data definition, data lineage and data…",https://sg.indeed.com/rc/clk?jk=b21405df56275297&fccid=bca4b433e9c90043&vjs=3
Internship - Mechanical Testing and Data Analysis,Infineon Technologies,Singapore,Posted30+ days ago,2022-05-18,,"Conduct data analysis using Excel and/or Matlab.
The student, as part of the package simulation team under the guidance of an assigned mentor, will assist in…",https://sg.indeed.com/rc/clk?jk=e031b05388c78ecc&fccid=d29c5f56235af7ca&vjs=3
Data Visualization Developer,Bioquest Advisory,Singapore,Posted2 days ago,2022-05-18,"$3,000 - $6,000 a month","Working with the data science team to understand data inputs to BI tool - data definition and integration with data sources, machine learning algorithms,…",https://sg.indeed.com/company/Bioquest-Advisory-Pte.-Ltd./jobs/Data-Visualization-Developer-ecc431db008da7a6?fccid=e9ed9378e31beeeb&vjs=3
"Marketing Analyst, Analytics",Google,Singapore,Posted30+ days ago,2022-05-18,,"Experience with data mining principles and querying large, complex data sets (e.g., using SQL for collecting data from multiple data systems).",https://sg.indeed.com/rc/clk?jk=a0133f22d2eb4a47&fccid=a5b4499d9e91a5c6&vjs=3
Internship - Mechanical Testing and Data Analysis,Infineon Technologies,Singapore,Posted30+ days ago,2022-05-18,,"Conduct data analysis using Excel and/or Matlab.
The student, as part of the package simulation team under the guidance of an assigned mentor, will assist in…",https://sg.indeed.com/rc/clk?jk=e031b05388c78ecc&fccid=d29c5f56235af7ca&vjs=3
Data Visualization Developer,Bioquest Advisory,Singapore,Posted2 days ago,2022-05-18,"$3,000 - $6,000 a month","Working with the data science team to understand data inputs to BI tool - data definition and integration with data sources, machine learning algorithms,…",https://sg.indeed.com/company/Bioquest-Advisory-Pte.-Ltd./jobs/Data-Visualization-Developer-ecc431db008da7a6?fccid=e9ed9378e31beeeb&vjs=3
"Marketing Analyst, Analytics",Google,Singapore,Posted30+ days ago,2022-05-18,,"Experience with data mining principles and querying large, complex data sets (e.g., using SQL for collecting data from multiple data systems).",https://sg.indeed.com/rc/clk?jk=a0133f22d2eb4a47&fccid=a5b4499d9e91a5c6&vjs=3
Market Risk Analyst,Louis Dreyfus Company,Singapore,Posted1 day ago,2022-05-18,,"Solid skills in data mining and data analysis.
Solid skills in data mining and data analysis.
Support the Risk Managers with risk analysis simulations and data…",https://sg.indeed.com/rc/clk?jk=51ed36196e00a4ea&fccid=e1ccbfff0c15def4&vjs=3
Business Analyst,Parkway Pantai,Singapore,Posted30+ days ago,2022-05-18,,"Improve existing data governance framework, identify opportunities to address data gaps through business process reengineering, and development of new data…",https://sg.indeed.com/rc/clk?jk=b6c684ca662c7738&fccid=811f945a53ba98f1&vjs=3
"Assistant Manager/Manager, Data Analyst (Gaming)",Resorts World Sentosa,Singapore,Posted7 days ago,2022-05-18,"$4,000 a month","Build and maintain strong relationship with business stakeholders on projects.
This role will gather an understanding of customer’s business objective and…",https://sg.indeed.com/company/Resorts-World-Sentosa/jobs/Assistant-Manager-Manager-44af32155586e8f0?fccid=d173deb5b709416c&vjs=3
Data Privacy Assistant/Analyst (SG),Crypto.com,Singapore,Posted19 days ago,2022-05-18,,"Conduct data protection due diligence of third-party providers.
Develop, implement and continually improve data protection framework of the organization.",https://sg.indeed.com/rc/clk?jk=e112fc512e56a477&fccid=18bfd14af40ab66a&vjs=3
Data Analyst,PropertyGuru,Singapore,Posted30+ days ago,2022-05-18,,"Responsible for documenting data requirements, data collection/processing/cleaning, and exploratory data analysis.
English language fluency is a must.",https://sg.indeed.com/rc/clk?jk=ed74d570fadddc38&fccid=ec230b0ac1477cb8&vjs=3
Data Scientist (Applied Analytics),DHL,Singapore,Posted9 days ago,2022-05-18,,"Identify new potential data sources: value of new data, integrating into analysis, assessing data readiness for automation and optimization.",https://sg.indeed.com/rc/clk?jk=f08cea8919a4e840&fccid=5b8d10630cb111eb&vjs=3
"Equity Research Analyst, ASEAN Banks",Morgan Stanley,Singapore,Posted30+ days ago,2022-05-18,,"Responding to requests for data and information from internal and external clients.
Assisting in the design and preparation of analyst marketing strategy and…",https://sg.indeed.com/rc/clk?jk=03d0858181fcb867&fccid=0c39fb2c91742dcf&vjs=3
"Equity Research - Associate Analyst, Singapore",T. Rowe Price,Singapore,Posted30+ days ago,2022-05-18,,"Experience with market data services (ex. Factset, Bloomberg etc.).
The position will be broad and varied involving attending company meetings, conducting field…",https://sg.indeed.com/rc/clk?jk=d27b831d9370b746&fccid=65c89b6d6455eedf&vjs=3
Data Analyst,Robert Walters,Singapore,Posted1 day ago,2022-05-18,,"Interpret and analyse data problems, turning business problems into data insights.
Ensure data quality and integrity.",https://sg.indeed.com/rc/clk?jk=11c88bd9e5431e78&fccid=f01c2f55ec3054bf&vjs=3
Data Analysis [Intern or Full Time],Flocations,Singapore,Posted30+ days ago,2022-05-18,,"Visualise data for internal and/or external communication.
Explore data stored in our MySQL database to extract useful information.",https://sg.indeed.com/rc/clk?jk=997e043b682de09d&fccid=d21e227957525b1e&vjs=3
Business Analyst,TDCX,Singapore,Posted30+ days ago,2022-05-18,,"Analyze and present relevant data in easy to understand format/dashboards to aid timely decision making, provide insightful discoveries and recommendations and…",https://sg.indeed.com/rc/clk?jk=9dc5514986d75ef5&fccid=224387838eaf865b&vjs=3
Business Intelligence Analyst,coty,Singapore,Posted29 days ago,2022-05-18,,"Handle large amounts of data to generate market insights for the commercial team to help execute business plans.
Strong knowledge of Excel (Vlookup…).",https://sg.indeed.com/rc/clk?jk=f6c840463d6f20ca&fccid=fa5bda3941a07205&vjs=3
Data Analysis [Intern or Full Time],Flocations,Singapore,Posted30+ days ago,2022-05-18,,"Visualise data for internal and/or external communication.
Explore data stored in our MySQL database to extract useful information.",https://sg.indeed.com/rc/clk?jk=997e043b682de09d&fccid=d21e227957525b1e&vjs=3
Business Analyst,TDCX,Singapore,Posted30+ days ago,2022-05-18,,"Analyze and present relevant data in easy to understand format/dashboards to aid timely decision making, provide insightful discoveries and recommendations and…",https://sg.indeed.com/rc/clk?jk=9dc5514986d75ef5&fccid=224387838eaf865b&vjs=3
Business Intelligence Analyst,coty,Singapore,Posted29 days ago,2022-05-18,,"Handle large amounts of data to generate market insights for the commercial team to help execute business plans.
Strong knowledge of Excel (Vlookup…).",https://sg.indeed.com/rc/clk?jk=f6c840463d6f20ca&fccid=fa5bda3941a07205&vjs=3
"Publisher Intelligence Analyst, Online Partnerships Group",Google,Singapore,Posted19 days ago,2022-05-18,,"Help convert data analysis into presentation of findings and recommendations to management team.
You will enable data driven decisions that translate into…",https://sg.indeed.com/rc/clk?jk=0151393ab1e85c31&fccid=a5b4499d9e91a5c6&vjs=3
Market Analyst,Phillips 66,Singapore,Posted30+ days ago,2022-05-18,,"Provide ad hoc analysis and compile data as needed for the team.
Analyze fundamental data; update monthly supply and demand balances for Asian and Middle East…",https://sg.indeed.com/rc/clk?jk=966c70c50d8fe009&fccid=72fa81f7018f6344&vjs=3
Data Analyst Internship(6months) - Intellectual Property Rights(IPR) Protection Team,TikTok,Singapore,Posted30+ days ago,2022-05-18,,"Experience with data visualization software is a plus.
Conduct research and collect data inputs for algorithms to identify risky products on the platform.",https://sg.indeed.com/rc/clk?jk=4f1005c708b40c1c&fccid=caed318a9335aac0&vjs=3
Senior Consultant - Data and Analytics,InfoCepts,Remote in Singapore,EmployerActive 6 days ago,2022-05-18,"$10,000 - $12,000 a month","Experience with delivery of data and analytic professional services.
Prior experience as a business analyst in analytics will be advantageous.",https://sg.indeed.com/company/Infocepts/jobs/Senior-Consultant-d2ca9a9a85322fd2?fccid=da655a94854ccb98&vjs=3
Data Analyst - Recommendation (Algorithm),Shopee,Singapore 118265+1 location,Posted30+ days ago,2022-05-18,,"Experience using data access tools, building dashboards and analyses with large datasets and multiple data sources.
Good communication and teamwork skills.",https://sg.indeed.com/rc/clk?jk=4f57df3d19d75dba&fccid=0b476c4a7add47fe&vjs=3
"Data Analyst, Supply Chain",Seagate Technology,Singapore,Posted19 days ago,2022-05-18,,"Experience gathering data from large scale data warehouses/data marts, understanding of relational database structure and concepts.",https://sg.indeed.com/rc/clk?jk=4eaefdcd66eef751&fccid=eb193642f8c64a12&vjs=3
"Associate/Analyst, User Experience Journey, Consumer Banking Group",DBS Bank,Singapore,Posted1 day ago,2022-05-18,,"Analyze data for insights and establish customer success metrics in journeys designs.
Support the design and re-design of customer journeys.",https://sg.indeed.com/rc/clk?jk=b01b3b91a68af8e3&fccid=cc1f9ea511d140fe&vjs=3
Cyber Intelligence Analyst,Ministry of Home Affairs,Singapore,Posted23 days ago,2022-05-18,,"Apply data analytics know-how to perform malware classification and attribution.
Apply data analytics know-how to detect for ""signature-less"" cyber attacks.",https://sg.indeed.com/rc/clk?jk=b479b0921276e650&fccid=3d4d8c75268a3e45&vjs=3
Business Solutions & Analyst,GRAPHENE SERVICES PTE. LTD.,Geylang+1 location,PostedJust posted,2022-05-18,"$4,000 - $5,000 a month","Comfortable with and competence in reading data.
Be the first line defence for data sensibility and coherence.
Experience work autonomy, ownership and trust.",https://sg.indeed.com/rc/clk?jk=3af697300ea238fb&fccid=04271bb80ec74aae&vjs=3
Business Analyst,TRUST RECRUIT PTE. LTD.,Singapore,Posted4 days ago,2022-05-18,"$3,500 - $5,000 a month","To be consultative and analyze business needs so as to provide detailed plans, impact analysis, gap analysis, and/or possible alternative strategies to…",https://sg.indeed.com/rc/clk?jk=90c663c703ffd538&fccid=65ecb502303418b0&vjs=3
Revenue Analyst,ZALORA SOUTH EAST ASIA PTE LTD,Singapore,Posted30+ days ago,2022-05-18,,You have excellent communication and data storytelling skills to effectively present findings with data visualisation tools like Tableau or Power BI.,https://sg.indeed.com/rc/clk?jk=32dcf34895b02925&fccid=44928ed605a0104f&vjs=3
Maritime Data Analyst,Informa Intelligence,Singapore,Posted12 days ago,2022-05-18,,"Support our geospatial data team with data improvements and research.
Responsible for curating and analysing vessel data in support of our data quality…",https://sg.indeed.com/rc/clk?jk=d1b6496ca16085e9&fccid=d0a3ffcfe2ff7eca&vjs=3
"Analyst, Policy and Insights",The Economist Newspaper Limited,Singapore+1 location,Posted30+ days ago,2022-05-18,,"Prepare and deliver research inputs and reports for client consulting projects, including economic analysis, benchmarking, data collection, interpretation,…",https://sg.indeed.com/rc/clk?jk=edefc73f6cae70ff&fccid=4a94602ea99c5f66&vjs=3
